,empo_1,empo_2,empo_3
4738,Free-living,Non-saline,Water (non-saline)
4739,Free-living,Non-saline,Soil (non-saline)
4740,Host-associated,Plant,Plant surface
4741,Free-living,Non-saline,Sediment (non-saline)
4742,Host-associated,Animal,Animal distal gut
4743,Host-associated,Animal,Animal distal gut
4744,Host-associated,Animal,Animal distal gut
4745,Free-living,Non-saline,Water (non-saline)
4746,Host-associated,Animal,Animal distal gut
4747,Host-associated,Plant,Plant surface
4748,Free-living,Non-saline,Soil (non-saline)
4749,Host-associated,Animal,Animal distal gut
4750,Host-associated,Animal,Animal surface
4751,Host-associated,Animal,Animal distal gut
4752,Host-associated,Plant,Plant surface
4753,Free-living,Non-saline,Soil (non-saline)
4754,Free-living,Non-saline,Water (non-saline)
4755,Free-living,Non-saline,Soil (non-saline)
4756,Host-associated,Animal,Animal secretion
4757,Free-living,Non-saline,Surface (non-saline)
4758,Host-associated,Plant,Plant surface
4759,Free-living,Non-saline,Soil (non-saline)
4760,Free-living,Non-saline,Soil (non-saline)
4761,Free-living,Non-saline,Soil (non-saline)
4762,Free-living,Non-saline,Water (non-saline)
4763,Free-living,Non-saline,Water (non-saline)
4764,Host-associated,Plant,Plant surface
4765,Host-associated,Animal,Animal surface
4766,Host-associated,Animal,Animal distal gut
4767,Free-living,Non-saline,Water (non-saline)
4768,Free-living,Non-saline,Sediment (non-saline)
4769,Free-living,Non-saline,Soil (non-saline)
4770,Free-living,Non-saline,Surface (non-saline)
4771,Host-associated,Animal,Animal surface
4772,Free-living,Non-saline,Water (non-saline)
4773,Free-living,Non-saline,Soil (non-saline)
4774,Host-associated,Animal,Animal distal gut
4775,Host-associated,Animal,Animal distal gut
4776,Free-living,Non-saline,Surface (non-saline)
4777,Free-living,Non-saline,Sediment (non-saline)
4778,Free-living,Saline,Surface (saline)
4779,Host-associated,Plant,Plant corpus
4780,Host-associated,Animal,Animal distal gut
4781,Free-living,Non-saline,Water (non-saline)
4782,Host-associated,Plant,Plant surface
4783,Free-living,Non-saline,Soil (non-saline)
4784,Free-living,Saline,Water (saline)
4785,Free-living,Saline,Sediment (saline)
4786,Free-living,Non-saline,Soil (non-saline)
4787,Free-living,Non-saline,Soil (non-saline)
4788,Host-associated,Animal,Animal surface
4789,Free-living,Non-saline,Soil (non-saline)
4790,Host-associated,Animal,Animal distal gut
4791,Host-associated,Animal,Animal distal gut
4792,Free-living,Non-saline,Soil (non-saline)
4793,Host-associated,Animal,Animal distal gut
4794,Free-living,Non-saline,Soil (non-saline)
4795,Host-associated,Animal,Animal distal gut
4796,Free-living,Non-saline,Sediment (non-saline)
4797,Host-associated,Plant,Plant surface
4798,Free-living,Non-saline,Soil (non-saline)
4799,Host-associated,Animal,Animal surface
4800,Free-living,Non-saline,Soil (non-saline)
4801,Host-associated,Animal,Animal surface
4802,Host-associated,Animal,Animal distal gut
4803,Free-living,Non-saline,Soil (non-saline)
4804,Free-living,Non-saline,Soil (non-saline)
4805,Free-living,Non-saline,Water (non-saline)
4806,Free-living,Non-saline,Water (non-saline)
4807,Host-associated,Animal,Animal distal gut
4808,Host-associated,Animal,Animal distal gut
4809,Free-living,Non-saline,Water (non-saline)
4810,Free-living,Non-saline,Soil (non-saline)
4811,Free-living,Non-saline,Soil (non-saline)
4812,Host-associated,Animal,Animal distal gut
4813,Host-associated,Animal,Animal distal gut
4814,Free-living,Saline,Water (saline)
4815,Host-associated,Animal,Animal surface
4816,Host-associated,Animal,Animal distal gut
4817,Host-associated,Animal,Animal surface
4818,Host-associated,Animal,Animal surface
4819,Host-associated,Animal,Animal surface
4820,Free-living,Non-saline,Water (non-saline)
4821,Host-associated,Animal,Animal surface
4822,Host-associated,Animal,Animal surface
4823,Free-living,Non-saline,Water (non-saline)
4824,Free-living,Non-saline,Soil (non-saline)
4825,Host-associated,Animal,Animal distal gut
4826,Host-associated,Plant,Plant surface
4827,Host-associated,Animal,Animal distal gut
4828,Host-associated,Animal,Animal distal gut
4829,Free-living,Non-saline,Soil (non-saline)
4830,Host-associated,Animal,Animal surface
4831,Free-living,Non-saline,Water (non-saline)
4832,Host-associated,Animal,Animal surface
4833,Free-living,Non-saline,Water (non-saline)
4834,Free-living,Non-saline,Soil (non-saline)
4835,Free-living,Non-saline,Soil (non-saline)
4836,Host-associated,Animal,Animal distal gut
4837,Free-living,Non-saline,Water (non-saline)
4838,Free-living,Non-saline,Soil (non-saline)
4839,Free-living,Non-saline,Soil (non-saline)
4840,Host-associated,Animal,Animal distal gut
4841,Host-associated,Plant,Plant rhizosphere
4842,Free-living,Non-saline,Water (non-saline)
4843,Host-associated,Animal,Animal surface
4844,Host-associated,Animal,Animal distal gut
4845,Host-associated,Plant,Plant surface
4846,Free-living,Non-saline,Sediment (non-saline)
4847,Host-associated,Plant,Plant rhizosphere
4848,Host-associated,Plant,Plant surface
4849,Free-living,Non-saline,Soil (non-saline)
4850,Host-associated,Animal,Animal distal gut
4851,Free-living,Non-saline,Soil (non-saline)
4852,Free-living,Non-saline,Soil (non-saline)
4853,Free-living,Non-saline,Water (non-saline)
4854,Free-living,Saline,Sediment (saline)
4855,Host-associated,Animal,Animal distal gut
4856,Free-living,Non-saline,Water (non-saline)
4857,Free-living,Non-saline,Water (non-saline)
4858,Host-associated,Animal,Animal distal gut
4859,Free-living,Saline,Sediment (saline)
4860,Free-living,Non-saline,Water (non-saline)
4861,Host-associated,Animal,Animal distal gut
4862,Host-associated,Animal,Animal secretion
4863,Host-associated,Animal,Animal surface
4864,Host-associated,Animal,Animal surface
4865,Host-associated,Animal,Animal distal gut
4866,Host-associated,Animal,Animal distal gut
4867,Free-living,Non-saline,Water (non-saline)
4868,Free-living,Non-saline,Soil (non-saline)
4869,Host-associated,Animal,Animal distal gut
4870,Free-living,Saline,Sediment (saline)
4871,Host-associated,Animal,Animal surface
4872,Host-associated,Animal,Animal distal gut
4873,Free-living,Non-saline,Water (non-saline)
4874,Host-associated,Animal,Animal distal gut
4875,Host-associated,Animal,Animal secretion
4876,Host-associated,Animal,Animal surface
4877,Free-living,Non-saline,Water (non-saline)
4878,Free-living,Non-saline,Soil (non-saline)
4879,Host-associated,Animal,Animal surface
4880,Host-associated,Animal,Animal distal gut
4881,Free-living,Non-saline,Soil (non-saline)
4882,Free-living,Non-saline,Soil (non-saline)
4883,Free-living,Non-saline,Soil (non-saline)
4884,Free-living,Non-saline,Water (non-saline)
4885,Free-living,Non-saline,Water (non-saline)
4886,Free-living,Non-saline,Soil (non-saline)
4887,Host-associated,Animal,Animal surface
4888,Free-living,Non-saline,Water (non-saline)
4889,Host-associated,Animal,Animal secretion
4890,Host-associated,Animal,Animal surface
4891,Host-associated,Animal,Animal distal gut
4892,Host-associated,Plant,Plant rhizosphere
4893,Free-living,Non-saline,Soil (non-saline)
4894,Free-living,Non-saline,Water (non-saline)
4895,Host-associated,Animal,Animal surface
4896,Free-living,Non-saline,Water (non-saline)
4897,Free-living,Non-saline,Water (non-saline)
4898,Host-associated,Animal,Animal surface
4899,Host-associated,Animal,Animal distal gut
4900,Free-living,Non-saline,Water (non-saline)
4901,Host-associated,Animal,Animal surface
4902,Free-living,Non-saline,Soil (non-saline)
4903,Free-living,Non-saline,Soil (non-saline)
4904,Host-associated,Animal,Animal surface
4905,Free-living,Non-saline,Water (non-saline)
4906,Free-living,Non-saline,Water (non-saline)
4907,Free-living,Non-saline,Water (non-saline)
4908,Free-living,Non-saline,Soil (non-saline)
4909,Host-associated,Animal,Animal surface
4910,Free-living,Non-saline,Water (non-saline)
4911,Free-living,Non-saline,Soil (non-saline)
4912,Host-associated,Animal,Animal surface
4913,Free-living,Saline,Water (saline)
4914,Host-associated,Animal,Animal secretion
4915,Host-associated,Animal,Animal proximal gut
4916,Host-associated,Animal,Animal distal gut
4917,Host-associated,Animal,Animal secretion
4918,Host-associated,Animal,Animal distal gut
4919,Host-associated,Animal,Animal surface
4920,Host-associated,Animal,Animal surface
4921,Host-associated,Animal,Animal distal gut
4922,Free-living,Non-saline,Water (non-saline)
4923,Host-associated,Animal,Animal distal gut
4924,Free-living,Non-saline,Soil (non-saline)
4925,Free-living,Non-saline,Soil (non-saline)
4926,Host-associated,Animal,Animal surface
4927,Host-associated,Animal,Animal surface
4928,Host-associated,Animal,Animal surface
4929,Free-living,Non-saline,Soil (non-saline)
4930,Free-living,Non-saline,Soil (non-saline)
4931,Host-associated,Plant,Plant rhizosphere
4932,Host-associated,Animal,Animal distal gut
4933,Host-associated,Animal,Animal surface
4934,Free-living,Non-saline,Soil (non-saline)
4935,Free-living,Saline,Sediment (saline)
4936,Host-associated,Animal,Animal distal gut
4937,Free-living,Non-saline,Soil (non-saline)
4938,Host-associated,Animal,Animal distal gut
4939,Free-living,Non-saline,Water (non-saline)
4940,Host-associated,Animal,Animal distal gut
4941,Host-associated,Animal,Animal secretion
4942,Free-living,Non-saline,Sediment (non-saline)
4943,Free-living,Non-saline,Water (non-saline)
4944,Free-living,Non-saline,Water (non-saline)
4945,Host-associated,Animal,Animal surface
4946,Free-living,Saline,Surface (saline)
4947,Free-living,Saline,Water (saline)
4948,Host-associated,Animal,Animal secretion
4949,Free-living,Non-saline,Soil (non-saline)
4950,Host-associated,Animal,Animal distal gut
4951,Free-living,Non-saline,Water (non-saline)
4952,Free-living,Non-saline,Water (non-saline)
4953,Host-associated,Animal,Animal secretion
4954,Host-associated,Animal,Animal distal gut
4955,Host-associated,Animal,Animal surface
4956,Host-associated,Animal,Animal distal gut
4957,Free-living,Non-saline,Soil (non-saline)
4958,Host-associated,Animal,Animal distal gut
4959,Free-living,Saline,Water (saline)
4960,Free-living,Saline,Water (saline)
4961,Free-living,Non-saline,Water (non-saline)
4962,Free-living,Non-saline,Soil (non-saline)
4963,Free-living,Non-saline,Soil (non-saline)
4964,Host-associated,Plant,Plant surface
4965,Free-living,Non-saline,Water (non-saline)
4966,Free-living,Saline,Sediment (saline)
4967,Free-living,Non-saline,Water (non-saline)
4968,Free-living,Non-saline,Water (non-saline)
4969,Host-associated,Plant,Plant surface
4970,Host-associated,Plant,Plant surface
4971,Host-associated,Animal,Animal surface
4972,Free-living,Non-saline,Soil (non-saline)
4973,Free-living,Non-saline,Soil (non-saline)
4974,Free-living,Non-saline,Surface (non-saline)
4975,Free-living,Non-saline,Soil (non-saline)
4976,Free-living,Non-saline,Soil (non-saline)
4977,Free-living,Non-saline,Water (non-saline)
4978,Host-associated,Animal,Animal distal gut
4979,Host-associated,Animal,Animal secretion
4980,Free-living,Non-saline,Sediment (non-saline)
4981,Host-associated,Plant,Plant rhizosphere
4982,Free-living,Non-saline,Surface (non-saline)
4983,Free-living,Saline,Water (saline)
4984,Free-living,Non-saline,Soil (non-saline)
4985,Free-living,Saline,Sediment (saline)
4986,Free-living,Non-saline,Water (non-saline)
4987,Free-living,Non-saline,Water (non-saline)
4988,Host-associated,Animal,Animal secretion
4989,Free-living,Non-saline,Water (non-saline)
4990,Host-associated,Animal,Animal surface
4991,Free-living,Non-saline,Soil (non-saline)
4992,Free-living,Non-saline,Water (non-saline)
4993,Free-living,Non-saline,Surface (non-saline)
4994,Free-living,Non-saline,Soil (non-saline)
4995,Free-living,Non-saline,Soil (non-saline)
4996,Free-living,Non-saline,Water (non-saline)
4997,Host-associated,Plant,Plant rhizosphere
4998,Host-associated,Animal,Animal surface
4999,Free-living,Saline,Sediment (saline)
5000,Host-associated,Animal,Animal surface
5001,Host-associated,Animal,Animal distal gut
5002,Host-associated,Animal,Animal distal gut
5003,Free-living,Non-saline,Water (non-saline)
5004,Host-associated,Animal,Animal secretion
5005,Host-associated,Animal,Animal surface
5006,Free-living,Non-saline,Soil (non-saline)
5007,Free-living,Non-saline,Surface (non-saline)
5008,Host-associated,Animal,Animal distal gut
5009,Free-living,Non-saline,Water (non-saline)
5010,Host-associated,Animal,Animal surface
5011,Host-associated,Animal,Animal distal gut
5012,Free-living,Non-saline,Water (non-saline)
5013,Host-associated,Plant,Plant surface
5014,Free-living,Non-saline,Water (non-saline)
5015,Host-associated,Plant,Plant surface
5016,Host-associated,Plant,Plant surface
5017,Free-living,Non-saline,Water (non-saline)
5018,Host-associated,Animal,Animal surface
5019,Host-associated,Animal,Animal secretion
5020,Free-living,Non-saline,Water (non-saline)
5021,Host-associated,Animal,Animal distal gut
5022,Host-associated,Animal,Animal distal gut
5023,Free-living,Non-saline,Soil (non-saline)
5024,Host-associated,Animal,Animal distal gut
5025,Host-associated,Animal,Animal distal gut
5026,Free-living,Non-saline,Water (non-saline)
5027,Free-living,Non-saline,Soil (non-saline)
5028,Host-associated,Animal,Animal distal gut
5029,Free-living,Non-saline,Water (non-saline)
5030,Host-associated,Animal,Animal surface
5031,Free-living,Non-saline,Water (non-saline)
5032,Free-living,Non-saline,Water (non-saline)
5033,Free-living,Non-saline,Soil (non-saline)
5034,Free-living,Non-saline,Soil (non-saline)
5035,Host-associated,Animal,Animal distal gut
5036,Free-living,Non-saline,Water (non-saline)
5037,Free-living,Non-saline,Water (non-saline)
5038,Free-living,Non-saline,Water (non-saline)
5039,Free-living,Non-saline,Surface (non-saline)
5040,Free-living,Non-saline,Soil (non-saline)
5041,Free-living,Non-saline,Water (non-saline)
5042,Host-associated,Plant,Plant surface
5043,Free-living,Non-saline,Water (non-saline)
5044,Free-living,Non-saline,Water (non-saline)
5045,Host-associated,Animal,Animal surface
5046,Free-living,Non-saline,Soil (non-saline)
5047,Host-associated,Animal,Animal distal gut
5048,Free-living,Non-saline,Water (non-saline)
5049,Free-living,Non-saline,Soil (non-saline)
5050,Free-living,Non-saline,Soil (non-saline)
5051,Host-associated,Animal,Animal distal gut
5052,Host-associated,Animal,Animal secretion
5053,Host-associated,Animal,Animal surface
5054,Host-associated,Animal,Animal surface
5055,Host-associated,Animal,Animal distal gut
5056,Free-living,Non-saline,Water (non-saline)
5057,Free-living,Non-saline,Soil (non-saline)
5058,Free-living,Non-saline,Soil (non-saline)
5059,Host-associated,Animal,Animal distal gut
5060,Host-associated,Animal,Animal distal gut
5061,Free-living,Non-saline,Water (non-saline)
5062,Host-associated,Animal,Animal surface
5063,Host-associated,Animal,Animal distal gut
5064,Free-living,Non-saline,Surface (non-saline)
5065,Host-associated,Plant,Plant surface
5066,Host-associated,Animal,Animal distal gut
5067,Free-living,Saline,Water (saline)
5068,Host-associated,Animal,Animal secretion
5069,Free-living,Non-saline,Soil (non-saline)
5070,Host-associated,Animal,Animal surface
5071,Free-living,Saline,Sediment (saline)
5072,Host-associated,Animal,Animal surface
5073,Host-associated,Plant,Plant surface
5074,Host-associated,Animal,Animal surface
5075,Host-associated,Plant,Plant surface
5076,Free-living,Non-saline,Water (non-saline)
5077,Free-living,Non-saline,Soil (non-saline)
5078,Free-living,Non-saline,Water (non-saline)
5079,Host-associated,Animal,Animal distal gut
5080,Host-associated,Animal,Animal distal gut
5081,Free-living,Non-saline,Water (non-saline)
5082,Free-living,Non-saline,Soil (non-saline)
5083,Free-living,Non-saline,Soil (non-saline)
5084,Host-associated,Animal,Animal surface
5085,Host-associated,Plant,Plant surface
5086,Host-associated,Animal,Animal surface
5087,Free-living,Non-saline,Water (non-saline)
5088,Free-living,Non-saline,Soil (non-saline)
5089,Host-associated,Animal,Animal secretion
5090,Host-associated,Animal,Animal distal gut
5091,Host-associated,Animal,Animal distal gut
5092,Free-living,Non-saline,Sediment (non-saline)
5093,Host-associated,Animal,Animal corpus
5094,Free-living,Non-saline,Surface (non-saline)
5095,Host-associated,Animal,Animal distal gut
5096,Free-living,Non-saline,Sediment (non-saline)
5097,Free-living,Non-saline,Surface (non-saline)
5098,Free-living,Non-saline,Water (non-saline)
5099,Free-living,Non-saline,Soil (non-saline)
5100,Host-associated,Plant,Plant surface
5101,Free-living,Non-saline,Soil (non-saline)
5102,Free-living,Non-saline,Water (non-saline)
5103,Free-living,Non-saline,Water (non-saline)
5104,Host-associated,Animal,Animal distal gut
5105,Host-associated,Plant,Plant corpus
5106,Host-associated,Animal,Animal surface
5107,Free-living,Non-saline,Soil (non-saline)
5108,Free-living,Non-saline,Water (non-saline)
5109,Free-living,Saline,Water (saline)
5110,Free-living,Non-saline,Surface (non-saline)
5111,Free-living,Non-saline,Soil (non-saline)
5112,Host-associated,Animal,Animal distal gut
5113,Free-living,Non-saline,Soil (non-saline)
5114,Free-living,Non-saline,Water (non-saline)
5115,Free-living,Non-saline,Soil (non-saline)
5116,Host-associated,Plant,Plant corpus
5117,Host-associated,Animal,Animal distal gut
5118,Free-living,Non-saline,Water (non-saline)
5119,Free-living,Non-saline,Soil (non-saline)
5120,Free-living,Non-saline,Surface (non-saline)
5121,Host-associated,Animal,Animal surface
5122,Host-associated,Animal,Animal surface
5123,Free-living,Non-saline,Water (non-saline)
5124,Host-associated,Animal,Animal surface
5125,Free-living,Non-saline,Surface (non-saline)
5126,Host-associated,Animal,Animal surface
5127,Free-living,Non-saline,Water (non-saline)
5128,Host-associated,Animal,Animal surface
5129,Host-associated,Animal,Animal distal gut
5130,Host-associated,Animal,Animal distal gut
5131,Host-associated,Animal,Animal surface
5132,Free-living,Non-saline,Sediment (non-saline)
5133,Host-associated,Animal,Animal surface
5134,Free-living,Non-saline,Water (non-saline)
5135,Free-living,Saline,Water (saline)
5136,Free-living,Non-saline,Soil (non-saline)
5137,Free-living,Non-saline,Water (non-saline)
5138,Free-living,Non-saline,Soil (non-saline)
5139,Free-living,Non-saline,Soil (non-saline)
5140,Host-associated,Plant,Plant corpus
5141,Host-associated,Plant,Plant surface
5142,Host-associated,Plant,Plant surface
5143,Free-living,Non-saline,Surface (non-saline)
5144,Host-associated,Plant,Plant rhizosphere
5145,Free-living,Non-saline,Soil (non-saline)
5146,Host-associated,Animal,Animal surface
5147,Host-associated,Plant,Plant rhizosphere
5148,Free-living,Non-saline,Soil (non-saline)
5149,Free-living,Non-saline,Water (non-saline)
5150,Host-associated,Plant,Plant surface
5151,Free-living,Saline,Sediment (saline)
5152,Free-living,Non-saline,Water (non-saline)
5153,Host-associated,Plant,Plant surface
5154,Host-associated,Animal,Animal distal gut
5155,Host-associated,Animal,Animal distal gut
5156,Host-associated,Plant,Plant rhizosphere
5157,Free-living,Non-saline,Soil (non-saline)
5158,Free-living,Non-saline,Water (non-saline)
5159,Free-living,Non-saline,Soil (non-saline)
5160,Host-associated,Plant,Plant rhizosphere
5161,Free-living,Non-saline,Water (non-saline)
5162,Free-living,Non-saline,Water (non-saline)
5163,Free-living,Non-saline,Soil (non-saline)
5164,Free-living,Non-saline,Soil (non-saline)
5165,Host-associated,Animal,Animal surface
5166,Host-associated,Animal,Animal distal gut
5167,Free-living,Non-saline,Soil (non-saline)
5168,Free-living,Non-saline,Soil (non-saline)
5169,Free-living,Non-saline,Soil (non-saline)
5170,Host-associated,Animal,Animal secretion
5171,Free-living,Non-saline,Soil (non-saline)
5172,Host-associated,Plant,Plant surface
5173,Free-living,Non-saline,Surface (non-saline)
5174,Host-associated,Animal,Animal distal gut
5175,Host-associated,Animal,Animal distal gut
5176,Free-living,Non-saline,Soil (non-saline)
5177,Host-associated,Animal,Animal distal gut
5178,Free-living,Non-saline,Surface (non-saline)
5179,Host-associated,Plant,Plant surface
5180,Host-associated,Plant,Plant surface
5181,Host-associated,Animal,Animal distal gut
5182,Host-associated,Animal,Animal distal gut
5183,Host-associated,Animal,Animal surface
5184,Free-living,Non-saline,Soil (non-saline)
5185,Free-living,Non-saline,Soil (non-saline)
5186,Host-associated,Animal,Animal surface
5187,Host-associated,Animal,Animal surface
5188,Free-living,Saline,Sediment (saline)
5189,Free-living,Saline,Sediment (saline)
5190,Free-living,Non-saline,Water (non-saline)
5191,Free-living,Non-saline,Soil (non-saline)
5192,Host-associated,Animal,Animal surface
5193,Host-associated,Plant,Plant surface
5194,Free-living,Non-saline,Water (non-saline)
5195,Free-living,Non-saline,Soil (non-saline)
5196,Free-living,Non-saline,Water (non-saline)
5197,Free-living,Non-saline,Water (non-saline)
5198,Host-associated,Plant,Plant surface
5199,Host-associated,Animal,Animal distal gut
5200,Free-living,Non-saline,Soil (non-saline)
5201,Host-associated,Plant,Plant rhizosphere
5202,Free-living,Non-saline,Surface (non-saline)
5203,Free-living,Non-saline,Soil (non-saline)
5204,Host-associated,Animal,Animal distal gut
5205,Host-associated,Animal,Animal proximal gut
5206,Host-associated,Animal,Animal proximal gut
5207,Host-associated,Animal,Animal distal gut
5208,Free-living,Non-saline,Water (non-saline)
5209,Host-associated,Animal,Animal surface
5210,Free-living,Non-saline,Surface (non-saline)
5211,Free-living,Non-saline,Sediment (non-saline)
5212,Host-associated,Plant,Plant rhizosphere
5213,Host-associated,Animal,Animal distal gut
5214,Host-associated,Plant,Plant surface
5215,Free-living,Non-saline,Water (non-saline)
5216,Free-living,Saline,Water (saline)
5217,Free-living,Non-saline,Surface (non-saline)
5218,Host-associated,Animal,Animal surface
5219,Free-living,Non-saline,Sediment (non-saline)
5220,Free-living,Saline,Sediment (saline)
5221,Host-associated,Animal,Animal distal gut
5222,Free-living,Non-saline,Soil (non-saline)
5223,Free-living,Non-saline,Water (non-saline)
5224,Host-associated,Animal,Animal distal gut
5225,Host-associated,Animal,Animal surface
5226,Host-associated,Plant,Plant surface
5227,Host-associated,Animal,Animal surface
5228,Host-associated,Animal,Animal distal gut
5229,Free-living,Non-saline,Water (non-saline)
5230,Host-associated,Animal,Animal surface
5231,Free-living,Non-saline,Surface (non-saline)
5232,Host-associated,Animal,Animal distal gut
5233,Free-living,Saline,Water (saline)
5234,Free-living,Saline,Water (saline)
5235,Host-associated,Animal,Animal distal gut
5236,Host-associated,Animal,Animal distal gut
5237,Host-associated,Plant,Plant surface
5238,Host-associated,Animal,Animal secretion
5239,Free-living,Non-saline,Water (non-saline)
5240,Free-living,Non-saline,Surface (non-saline)
5241,Free-living,Non-saline,Water (non-saline)
5242,Host-associated,Animal,Animal distal gut
5243,Host-associated,Animal,Animal surface
5244,Free-living,Non-saline,Surface (non-saline)
5245,Free-living,Non-saline,Surface (non-saline)
5246,Free-living,Non-saline,Water (non-saline)
5247,Host-associated,Animal,Animal surface
5248,Free-living,Non-saline,Surface (non-saline)
5249,Host-associated,Animal,Animal distal gut
5250,Free-living,Non-saline,Soil (non-saline)
5251,Host-associated,Animal,Animal surface
5252,Host-associated,Animal,Animal distal gut
5253,Free-living,Non-saline,Water (non-saline)
5254,Host-associated,Plant,Plant surface
5255,Free-living,Saline,Water (saline)
5256,Host-associated,Animal,Animal secretion
5257,Free-living,Non-saline,Soil (non-saline)
5258,Host-associated,Animal,Animal secretion
5259,Free-living,Non-saline,Water (non-saline)
5260,Free-living,Non-saline,Soil (non-saline)
5261,Free-living,Non-saline,Sediment (non-saline)
5262,Host-associated,Animal,Animal distal gut
5263,Free-living,Saline,Water (saline)
5264,Free-living,Non-saline,Sediment (non-saline)
5265,Host-associated,Animal,Animal surface
5266,Host-associated,Plant,Plant surface
5267,Free-living,Non-saline,Surface (non-saline)
5268,Host-associated,Animal,Animal distal gut
5269,Free-living,Non-saline,Soil (non-saline)
5270,Host-associated,Plant,Plant surface
5271,Host-associated,Animal,Animal secretion
5272,Host-associated,Plant,Plant surface
5273,Free-living,Non-saline,Soil (non-saline)
5274,Free-living,Non-saline,Soil (non-saline)
5275,Host-associated,Animal,Animal distal gut
5276,Free-living,Non-saline,Water (non-saline)
5277,Host-associated,Animal,Animal distal gut
5278,Free-living,Non-saline,Sediment (non-saline)
5279,Host-associated,Animal,Animal secretion
5280,Free-living,Non-saline,Soil (non-saline)
5281,Host-associated,Animal,Animal distal gut
5282,Free-living,Non-saline,Soil (non-saline)
5283,Free-living,Non-saline,Soil (non-saline)
5284,Free-living,Saline,Water (saline)
5285,Free-living,Non-saline,Soil (non-saline)
5286,Host-associated,Plant,Plant rhizosphere
5287,Free-living,Non-saline,Soil (non-saline)
5288,Free-living,Non-saline,Soil (non-saline)
5289,Free-living,Non-saline,Soil (non-saline)
5290,Host-associated,Animal,Animal distal gut
5291,Host-associated,Animal,Animal surface
5292,Free-living,Non-saline,Surface (non-saline)
5293,Free-living,Non-saline,Water (non-saline)
5294,Host-associated,Animal,Animal distal gut
5295,Free-living,Non-saline,Water (non-saline)
5296,Host-associated,Animal,Animal proximal gut
5297,Host-associated,Plant,Plant surface
5298,Free-living,Non-saline,Soil (non-saline)
5299,Free-living,Non-saline,Soil (non-saline)
5300,Free-living,Non-saline,Water (non-saline)
5301,Host-associated,Plant,Plant surface
5302,Free-living,Non-saline,Water (non-saline)
5303,Host-associated,Animal,Animal surface
5304,Host-associated,Animal,Animal secretion
5305,Host-associated,Animal,Animal distal gut
5306,Free-living,Non-saline,Soil (non-saline)
5307,Free-living,Non-saline,Surface (non-saline)
5308,Host-associated,Animal,Animal distal gut
5309,Free-living,Non-saline,Soil (non-saline)
5310,Host-associated,Animal,Animal surface
5311,Free-living,Non-saline,Water (non-saline)
5312,Free-living,Non-saline,Water (non-saline)
5313,Host-associated,Animal,Animal corpus
5314,Free-living,Non-saline,Water (non-saline)
5315,Free-living,Non-saline,Surface (non-saline)
5316,Host-associated,Animal,Animal secretion
5317,Free-living,Non-saline,Soil (non-saline)
5318,Host-associated,Animal,Animal surface
5319,Host-associated,Animal,Animal corpus
5320,Free-living,Non-saline,Surface (non-saline)
5321,Free-living,Non-saline,Water (non-saline)
5322,Free-living,Non-saline,Soil (non-saline)
5323,Free-living,Non-saline,Water (non-saline)
5324,Host-associated,Animal,Animal surface
5325,Host-associated,Animal,Animal surface
5326,Host-associated,Animal,Animal proximal gut
5327,Free-living,Non-saline,Water (non-saline)
5328,Free-living,Non-saline,Surface (non-saline)
5329,Host-associated,Animal,Animal proximal gut
5330,Host-associated,Animal,Animal distal gut
5331,Free-living,Saline,Sediment (saline)
5332,Free-living,Non-saline,Surface (non-saline)
5333,Free-living,Non-saline,Sediment (non-saline)
5334,Free-living,Non-saline,Soil (non-saline)
5335,Host-associated,Animal,Animal secretion
5336,Host-associated,Plant,Plant surface
5337,Free-living,Non-saline,Soil (non-saline)
5338,Free-living,Non-saline,Water (non-saline)
5339,Host-associated,Animal,Animal surface
5340,Free-living,Non-saline,Water (non-saline)
5341,Free-living,Non-saline,Soil (non-saline)
5342,Free-living,Non-saline,Soil (non-saline)
5343,Host-associated,Animal,Animal distal gut
5344,Host-associated,Plant,Plant surface
5345,Free-living,Saline,Sediment (saline)
5346,Free-living,Non-saline,Water (non-saline)
5347,Host-associated,Plant,Plant surface
5348,Free-living,Non-saline,Water (non-saline)
5349,Free-living,Non-saline,Soil (non-saline)
5350,Free-living,Non-saline,Water (non-saline)
5351,Free-living,Non-saline,Soil (non-saline)
5352,Free-living,Non-saline,Water (non-saline)
5353,Free-living,Non-saline,Water (non-saline)
5354,Free-living,Non-saline,Surface (non-saline)
5355,Free-living,Non-saline,Surface (non-saline)
5356,Free-living,Non-saline,Soil (non-saline)
5357,Host-associated,Animal,Animal surface
5358,Host-associated,Plant,Plant surface
5359,Host-associated,Animal,Animal distal gut
5360,Free-living,Non-saline,Water (non-saline)
5361,Free-living,Non-saline,Sediment (non-saline)
5362,Host-associated,Animal,Animal surface
5363,Host-associated,Animal,Animal distal gut
5364,Host-associated,Animal,Animal distal gut
5365,Free-living,Non-saline,Water (non-saline)
5366,Free-living,Non-saline,Soil (non-saline)
5367,Host-associated,Animal,Animal distal gut
5368,Host-associated,Animal,Animal surface
5369,Host-associated,Animal,Animal distal gut
5370,Host-associated,Animal,Animal distal gut
5371,Free-living,Non-saline,Soil (non-saline)
5372,Host-associated,Animal,Animal distal gut
5373,Host-associated,Animal,Animal distal gut
5374,Host-associated,Plant,Plant surface
5375,Free-living,Non-saline,Surface (non-saline)
5376,Free-living,Non-saline,Soil (non-saline)
5377,Host-associated,Plant,Plant rhizosphere
5378,Free-living,Non-saline,Soil (non-saline)
